n,m,k,t,p
1000,1,2,0.00108700,2
1000,1,2,0.00131600,4
1000,1,2,0.00107100,8
1000,1,2,0.00109500,16
1000,1,2,0.00122400,24
1000,1,2,0.00259100,32
1000,1,5,0.00115800,2
1000,1,5,0.00114700,4
1000,1,5,0.00123800,8
1000,1,5,0.00121900,16
1000,1,5,0.00128100,24
1000,1,5,0.00379800,32
1000,1,10,0.00146700,2
1000,1,10,0.00141900,4
1000,1,10,0.00130200,8
1000,1,10,0.00134500,16
1000,1,10,0.00162100,24
1000,1,10,0.00346700,32
1000,10,2,0.00103000,2
1000,10,2,0.00111700,4
1000,10,2,0.00109500,8
1000,10,2,0.00120700,16
1000,10,2,0.00070100,24
1000,10,2,0.00365600,32
1000,10,5,0.00134200,2
1000,10,5,0.00119800,4
1000,10,5,0.00128800,8
1000,10,5,0.00124200,16
1000,10,5,0.00123800,24
1000,10,5,0.00329400,32
1000,10,10,0.00159300,2
1000,10,10,0.00151800,4
1000,10,10,0.00142800,8
1000,10,10,0.00144400,16
1000,10,10,0.00148500,24
1000,10,10,0.00140100,32
1000,1000,2,0.00210100,2
1000,1000,2,0.00169800,4
1000,1000,2,0.00148300,8
1000,1000,2,0.00250600,16
1000,1000,2,0.00216400,24
1000,1000,2,0.00279800,32
1000,1000,5,0.00567000,2
1000,1000,5,0.00358400,4
1000,1000,5,0.01068200,8
1000,1000,5,0.00704900,16
1000,1000,5,0.00458600,24
1000,1000,5,0.00392800,32
1000,1000,10,0.01261600,2
1000,1000,10,0.03888400,4
1000,1000,10,0.02305500,8
1000,1000,10,0.01249700,16
1000,1000,10,0.00904500,24
1000,1000,10,0.04944900,32
1000,5000,2,0.02996600,2
1000,5000,2,0.01652400,4
1000,5000,2,0.01488800,8
1000,5000,2,0.00846600,16
1000,5000,2,0.00809000,24
1000,5000,2,0.01082200,32
1000,5000,5,0.11709200,2
1000,5000,5,0.06324300,4
1000,5000,5,0.03588700,8
1000,5000,5,0.03035800,16
1000,5000,5,0.02164800,24
1000,5000,5,0.01930000,32
1000,5000,10,0.26987500,2
1000,5000,10,0.14463300,4
1000,5000,10,0.11552300,8
1000,5000,10,0.06930200,16
1000,5000,10,0.04734400,24
1000,5000,10,0.04278500,32
10000,1,2,0.00137700,2
10000,1,2,0.00130000,4
10000,1,2,0.00138300,8
10000,1,2,0.00135700,16
10000,1,2,0.00142300,24
10000,1,2,0.00150100,32
10000,1,5,0.00304400,2
10000,1,5,0.00335200,4
10000,1,5,0.00257600,8
10000,1,5,0.00262100,16
10000,1,5,0.00731600,24
10000,1,5,0.00306300,32
10000,1,10,0.00561500,2
10000,1,10,0.00693300,4
10000,1,10,0.00495800,8
10000,1,10,0.00439900,16
10000,1,10,0.00280200,24
10000,1,10,0.00285100,32
10000,10,2,0.00166500,2
10000,10,2,0.00177100,4
10000,10,2,0.00154400,8
10000,10,2,0.00150600,16
10000,10,2,0.00335200,24
10000,10,2,0.00377900,32
10000,10,5,0.00363800,2
10000,10,5,0.00314100,4
10000,10,5,0.00271000,8
10000,10,5,0.00229400,16
10000,10,5,0.00203300,24
10000,10,5,0.00217300,32
10000,10,10,0.00634900,2
10000,10,10,0.00577500,4
10000,10,10,0.00523400,8
10000,10,10,0.00385700,16
10000,10,10,0.00339600,24
10000,10,10,0.00282900,32
10000,1000,2,0.02414900,2
10000,1000,2,0.01413600,4
10000,1000,2,0.04094800,8
10000,1000,2,0.02149000,16
10000,1000,2,0.01646100,24
10000,1000,2,0.01786100,32
10000,1000,5,0.10283800,2
10000,1000,5,0.05470000,4
10000,1000,5,0.11089500,8
10000,1000,5,0.08596200,16
10000,1000,5,0.06272600,24
10000,1000,5,0.06636700,32
10000,1000,10,0.26246100,2
10000,1000,10,0.14713500,4
10000,1000,10,0.16152700,8
10000,1000,10,0.16525800,16
10000,1000,10,0.14967900,24
10000,1000,10,0.12107600,32
10000,5000,2,0.50402400,2
10000,5000,2,0.26288600,4
10000,5000,2,0.17908200,8
10000,5000,2,0.12340000,16
10000,5000,2,0.10253800,24
10000,5000,2,0.07505700,32
10000,5000,5,2.02182700,2
10000,5000,5,1.06439000,4
10000,5000,5,0.61993200,8
10000,5000,5,0.40414000,16
10000,5000,5,0.38910300,24
10000,5000,5,0.32198100,32
10000,5000,10,4.66605200,2
10000,5000,10,2.44088100,4
10000,5000,10,1.36164600,8
10000,5000,10,0.72482000,16
10000,5000,10,0.87870300,24
10000,5000,10,0.72327600,32
100000,1,2,0.00429400,2
100000,1,2,0.00459700,4
100000,1,2,0.00509500,8
100000,1,2,0.00347700,16
100000,1,2,0.00466300,24
100000,1,2,0.00285500,32
100000,1,5,0.02053800,2
100000,1,5,0.02015900,4
100000,1,5,0.02400400,8
100000,1,5,0.01398400,16
100000,1,5,0.00955100,24
100000,1,5,0.00748000,32
100000,1,10,0.04719000,2
100000,1,10,0.04285900,4
100000,1,10,0.04707200,8
100000,1,10,0.02685400,16
100000,1,10,0.01927000,24
100000,1,10,0.01411300,32
100000,10,2,0.00703500,2
100000,10,2,0.00616400,4
100000,10,2,0.00625900,8
100000,10,2,0.00445900,16
100000,10,2,0.00362800,24
100000,10,2,0.00258500,32
100000,10,5,0.01999700,2
100000,10,5,0.02099200,4
100000,10,5,0.01739900,8
100000,10,5,0.01223800,16
100000,10,5,0.00949700,24
100000,10,5,0.00835200,32
100000,10,10,0.05553500,2
100000,10,10,0.05435400,4
100000,10,10,0.04319100,8
100000,10,10,0.02688700,16
100000,10,10,0.01946000,24
100000,10,10,0.01528500,32
100000,1000,2,0.22425800,2
100000,1000,2,0.11775100,4
100000,1000,2,0.14861700,8
100000,1000,2,0.14622300,16
100000,1000,2,0.18996500,24
100000,1000,2,0.14768400,32
100000,1000,5,1.03187400,2
100000,1000,5,0.52904900,4
100000,1000,5,0.37045800,8
100000,1000,5,0.27360800,16
100000,1000,5,0.72696400,24
100000,1000,5,0.58765100,32
100000,1000,10,2.67252500,2
100000,1000,10,1.40674200,4
100000,1000,10,0.86066400,8
100000,1000,10,0.48229600,16
100000,1000,10,1.51590500,24
100000,1000,10,1.35932800,32
100000,5000,2,6.33928100,2
100000,5000,2,3.31795200,4
100000,5000,2,1.79325300,8
100000,5000,2,0.99238700,16
100000,5000,2,1.01613700,24
100000,5000,2,0.93278000,32
100000,5000,5,25.89599900,2
100000,5000,5,13.51264400,4
100000,5000,5,7.29781400,8
100000,5000,5,3.84859800,16
100000,5000,5,4.07324500,24
100000,5000,5,3.76446900,32
100000,5000,10,59.22948800,2
100000,5000,10,30.87462800,4
100000,5000,10,16.67510000,8
100000,5000,10,8.65601000,16
100000,5000,10,9.39458300,24
100000,5000,10,8.54669400,32
1000000,1,2,0.03424300,2
1000000,1,2,0.03256400,4
1000000,1,2,0.04033100,8
