n,m,k,t,p
1000,1,2,0.00185400,2
1000,1,2,0.01000000,4
1000,1,2,0.00193600,8
1000,1,2,0.00363800,16
1000,1,2,0.00426000,32
1000,1,2,0.00350200,48
1000,1,2,0.00528100,68
1000,1,5,0.00223000,2
1000,1,5,0.00746600,4
1000,1,5,0.00250100,8
1000,1,5,0.00250800,16
1000,1,5,0.00436900,32
1000,1,5,0.00349600,48
1000,1,5,0.00420200,68
1000,1,10,0.00218900,2
1000,1,10,0.00284800,4
1000,1,10,0.00242100,8
1000,1,10,0.00258500,16
1000,1,10,0.00422600,32
1000,1,10,0.00546200,48
1000,1,10,0.00443700,68
1000,10,2,0.00229900,2
1000,10,2,0.00188400,4
1000,10,2,0.00373600,8
1000,10,2,0.00382000,16
1000,10,2,0.00391200,32
1000,10,2,0.00298700,48
1000,10,2,0.00648000,68
1000,10,5,0.00256300,2
1000,10,5,0.00380000,4
1000,10,5,0.00365400,8
1000,10,5,0.00317200,16
1000,10,5,0.00331900,32
1000,10,5,0.00305800,48
1000,10,5,0.00516400,68
1000,10,10,0.00618300,2
1000,10,10,0.00336600,4
1000,10,10,0.00259100,8
1000,10,10,0.00511700,16
1000,10,10,0.00507100,32
1000,10,10,0.00392800,48
1000,10,10,0.00463500,68
1000,1000,2,0.01128400,2
1000,1000,2,0.01165600,4
1000,1000,2,0.00442600,8
1000,1000,2,0.00348100,16
1000,1000,2,0.00443100,32
1000,1000,2,0.00445800,48
1000,1000,2,0.00444800,68
1000,1000,5,0.03564600,2
1000,1000,5,0.02136500,4
1000,1000,5,0.01334300,8
1000,1000,5,0.00874000,16
1000,1000,5,0.00841300,32
1000,1000,5,0.00772400,48
1000,1000,5,0.00856000,68
1000,1000,10,0.08708500,2
1000,1000,10,0.04549400,4
1000,1000,10,0.02185500,8
1000,1000,10,0.01429200,16
1000,1000,10,0.01279800,32
1000,1000,10,0.01422300,48
1000,1000,10,0.01814400,68
1000,5000,2,0.05500800,2
1000,5000,2,0.02602300,4
1000,5000,2,0.01349900,8
1000,5000,2,0.01011900,16
1000,5000,2,0.00962600,32
1000,5000,2,0.01242400,48
1000,5000,2,0.01530700,68
1000,5000,5,0.19633900,2
1000,5000,5,0.09364000,4
1000,5000,5,0.05268200,8
1000,5000,5,0.03110100,16
1000,5000,5,0.03807000,32
1000,5000,5,0.03235800,48
1000,5000,5,0.02920100,68
1000,5000,10,0.48555900,2
1000,5000,10,0.23632300,4
1000,5000,10,0.11818900,8
1000,5000,10,0.06268300,16
1000,5000,10,0.06638300,32
1000,5000,10,0.07370500,48
1000,5000,10,0.07939600,68
10000,1,2,0.00718000,2
10000,1,2,0.00258800,4
10000,1,2,0.00428400,8
10000,1,2,0.00242400,16
