n,m,k,p,t_,t
1000,1000,2,128,0.05,0.025
1000,1000,5,128,0.2,0.1
1000,1000,10,128,0.53,0.265
1000,5000,2,64,0.13,0.065
1000,5000,2,128,0.21,0.105
1000,5000,5,1,9.36,4.68
1000,5000,5,2,4.75,2.375
1000,5000,5,4,2.46,1.23
1000,5000,5,6,1.75,0.875
1000,5000,5,8,1.36,0.68
1000,5000,5,16,0.81,0.405
1000,5000,5,32,0.41,0.205
1000,5000,5,64,0.47,0.235
1000,5000,5,128,1.05,0.525
1000,5000,10,1,21.05,10.525
1000,5000,10,2,10.7,5.35
1000,5000,10,4,5.51,2.755
1000,5000,10,6,3.94,1.97
1000,5000,10,8,3.04,1.52
1000,5000,10,16,1.79,0.895
1000,5000,10,32,0.93,0.465
1000,5000,10,64,1.06,0.53
1000,5000,10,128,2.2,1.1
10000,1000,2,1,4.86,2.43
10000,1000,2,2,2.46,1.23
10000,1000,2,4,1.24,0.62
10000,1000,2,6,0.88,0.44
10000,1000,2,8,0.7,0.35
10000,1000,2,16,0.41,0.205
10000,1000,2,32,0.21,0.105
10000,1000,2,64,0.24,0.12
10000,1000,2,128,0.55,0.275
10000,1000,5,1,19.4,9.7
10000,1000,5,2,9.84,4.92
10000,1000,5,4,4.97,2.485
10000,1000,5,6,3.52,1.76
10000,1000,5,8,2.76,1.38
10000,1000,5,16,1.6,0.8
10000,1000,5,32,0.82,0.41
10000,1000,5,64,0.94,0.47
10000,1000,5,128,2.24,1.12
10000,1000,10,1,43.66,21.83
10000,1000,10,2,22.24,11.12
10000,1000,10,4,11.21,5.605
10000,1000,10,6,8,4
10000,1000,10,8,6.15,3.075
10000,1000,10,16,3.55,1.775
10000,1000,10,32,1.85,0.925
10000,1000,10,64,2.12,1.06
10000,1000,10,128,4.21,2.105
10000,5000,2,4,6.14,3.07
10000,5000,2,6,4.36,2.18
10000,5000,2,8,3.41,1.705
10000,5000,2,16,1.96,0.98
10000,5000,2,32,1,0.5
10000,5000,2,64,1.13,0.565
10000,5000,2,128,2.24,1.12
10000,5000,5,4,24.61,12.305
10000,5000,5,6,17.39,8.695
10000,5000,5,8,13.53,6.765
10000,5000,5,16,7.73,3.865
10000,5000,5,32,3.99,1.995
10000,5000,5,64,4.49,2.245
10000,5000,5,128,11.75,5.875
10000,5000,10,4,55.73,27.865
10000,5000,10,6,39.54,19.77
10000,5000,10,8,30.43,15.215
,,,,,
100000,1000,2,1,48.49,24.245
100000,1000,2,2,24.6,12.3
100000,1000,2,4,12.52,6.26
100000,1000,2,6,8.91,4.455
100000,1000,2,8,6.84,3.42
100000,1000,2,16,3.93,1.965
100000,1000,2,32,2.03,1.015
100000,1000,2,64,2.33,1.165
100000,1000,2,128,6.43,3.215
100000,1000,5,1,193.92,96.96
100000,1000,5,2,98.41,49.205
100000,1000,5,4,50.91,25.455
100000,1000,5,6,35.95,17.975
100000,1000,5,8,27.4,13.7
100000,1000,5,16,15.83,7.915
100000,1000,5,32,8.18,4.09
100000,1000,5,64,9.29,4.645
100000,1000,5,128,19.2,9.6
100000,1000,10,128,76.82,38.41
100000,5000,2,128,34.45,17.225
100000,5000,5,128,102.89,51.445
100000,5000,10,128,275.91,137.955
1000000,1000,2,2,246.27,123.135
1000000,1000,2,4,124.21,62.105
1000000,1000,2,6,88.28,44.14
1000000,1000,2,8,68.23,34.115
1000000,1000,2,16,39.56,19.78
1000000,1000,2,32,20.86,10.43
1000000,1000,2,64,24.25,12.125
1000000,1000,2,128,59.22,29.61
10000,5000,10,16,31.975,13
10000,5000,10,32,17.8,10.83
10000,5000,10,64,10.83,11.5
10000,5000,10,128,18.84,13
