n,m,k,p,t_,t
1000,1000,2,1,0.49,0.245
1000,1000,2,2,1.09,0.545
1000,1000,2,4,0.57,0.285
1000,1000,2,8,0.28,0.14
1000,1000,2,16,0.15,0.075
1000,1000,2,32,0.08,0.04
1000,1000,2,64,0.06,0.03
1000,1000,2,128,0.09,0.045
1000,1000,5,1,1.94,0.97
1000,1000,5,2,4.18,2.09
1000,1000,5,4,2.27,1.135
1000,1000,5,8,1.16,0.58
1000,1000,5,16,0.59,0.295
1000,1000,5,32,0.36,0.18
1000,1000,5,64,0.22,0.11
1000,1000,5,128,0.19,0.095
1000,1000,10,1,4.37,2.185
1000,1000,10,2,9.64,4.82
1000,1000,10,4,5.22,2.61
1000,1000,10,8,2.66,1.33
1000,1000,10,16,1.4,0.7
1000,1000,10,32,0.74,0.37
1000,1000,10,64,0.48,0.24
1000,1000,10,128,0.5,0.25
10000,1000,2,1,4.85,2.425
10000,1000,2,2,11.02,5.51
10000,1000,2,4,5.93,2.965
10000,1000,2,8,2.93,1.465
10000,1000,2,16,1.55,0.775
10000,1000,2,32,0.79,0.395
10000,1000,2,64,0.62,0.31
10000,1000,2,128,0.97,0.485
10000,1000,5,1,19.4,9.7
10000,1000,5,2,43.84,21.92
10000,1000,5,4,23.09,11.545
10000,1000,5,8,11.53,5.765
10000,1000,5,16,6,3
10000,1000,5,32,3.94,1.97
10000,1000,5,64,2.42,1.21
10000,1000,5,128,2.09,1.045
10000,1000,10,1,43.64,21.82
10000,1000,10,2,99.65,49.825
10000,1000,10,4,52.02,26.01
10000,1000,10,8,26.13,13.065
10000,1000,10,16,13.72,6.86
10000,1000,10,32,7.89,3.945
10000,1000,10,64,6.3,3.15
10000,1000,10,128,4.4,2.2
100000,1000,2,1,48.49,24.245
100000,1000,2,2,24.6,12.3
100000,1000,2,4,12.52,6.26
100000,1000,2,8,6.84,3.42
100000,1000,2,16,3.93,1.965
100000,1000,2,32,2.03,1.015
100000,1000,2,64,2.33,1.165
100000,1000,2,128,1.5,0.75
100000,1000,5,1,193.92,96.96
100000,1000,5,2,98.41,49.205
100000,1000,5,4,50.91,25.455
100000,1000,5,8,27.4,13.7
100000,1000,5,16,15.83,7.915
100000,1000,5,32,8.18,4.09
100000,1000,5,64,9.29,4.645
100000,1000,5,128,8.37,4.185
100000,1000,10,1,436.31,218.155
100000,1000,10,2,221.55,110.775
100000,1000,10,4,112.09,56.045
100000,1000,10,8,61.64,30.82
100000,1000,10,16,35.4,17.7
100000,1000,10,32,18.4,9.2
100000,1000,10,64,21.07,10.535
100000,1000,10,128,41.73,20.865
