n,m,k,p,t_,t
1000,1000,2,1,0.048297,0.048
1000,1000,2,2,0.090828,0.091
1000,1000,2,4,0.057892,0.058
1000,1000,2,8,0.100894,0.101
1000,1000,2,16,0.079416,0.079
1000,1000,2,32,0.086539,0.087
1000,1000,2,64,0.114582,0.115
1000,1000,2,128,0.108096,0.108
1000,1000,5,1,0.077573,0.078
1000,1000,5,2,0.114271,0.114
1000,1000,5,4,0.08896,0.089
1000,1000,5,8,0.085689,0.086
1000,1000,5,16,0.042905,0.043
1000,1000,5,32,0.063427,0.063
1000,1000,5,64,0.093765,0.094
1000,1000,5,128,0.054144,0.054
1000,1000,10,1,0.093986,0.094
1000,1000,10,2,0.222951,0.223
1000,1000,10,4,0.16334,0.163
1000,1000,10,8,0.107976,0.108
1000,1000,10,16,0.11423,0.114
1000,1000,10,32,0.08816,0.088
1000,1000,10,64,0.105728,0.106
1000,1000,10,128,0.095388,0.095
1000,5000,2,1,0.051407,0.051
1000,5000,2,2,0.092264,0.092
1000,5000,2,4,0.082236,0.082
1000,5000,2,8,0.059823,0.06
1000,5000,2,16,0.077305,0.077
1000,5000,2,32,0.031876,0.032
1000,5000,2,64,0.05084,0.051
1000,5000,2,128,0.081486,0.081
1000,5000,5,1,0.199605,0.2
1000,5000,5,2,0.250717,0.251
1000,5000,5,4,0.127053,0.127
1000,5000,5,8,0.098912,0.099
1000,5000,5,16,0.088595,0.089
1000,5000,5,32,0.105535,0.106
1000,5000,5,64,0.068696,0.069
1000,5000,5,128,0.076453,0.076
1000,5000,10,1,0.407636,0.408
1000,5000,10,2,0.56495,0.565
1000,5000,10,4,0.281861,0.282
1000,5000,10,8,0.211982,0.212
1000,5000,10,16,0.148678,0.149
1000,5000,10,32,0.118277,0.118
1000,5000,10,64,0.108729,0.109
1000,5000,10,128,0.169847,0.17
10000,1000,2,1,0.108801,0.109
10000,1000,2,2,0.26678,0.267
10000,1000,2,4,0.144644,0.145
10000,1000,2,8,0.104356,0.104
10000,1000,2,16,0.08424,0.084
10000,1000,2,32,0.071821,0.072
10000,1000,2,64,0.042054,0.042
10000,1000,2,128,0.041746,0.042
10000,1000,5,1,0.432711,0.433
10000,1000,5,2,0.923219,0.923
10000,1000,5,4,0.531787,0.532
10000,1000,5,8,0.257974,0.258
10000,1000,5,16,0.128941,0.129
10000,1000,5,32,0.152618,0.153
10000,1000,5,64,0.118451,0.118
10000,1000,5,128,0.090708,0.091
10000,1000,10,1,0.912331,0.912
10000,1000,10,2,2.086292,2.086
10000,1000,10,4,1.174001,1.174
10000,1000,10,8,0.666576,0.667
10000,1000,10,16,0.394289,0.394
10000,1000,10,32,0.219766,0.22
10000,1000,10,64,0.19161,0.192
10000,1000,10,128,0.211651,0.212
10000,5000,2,1,0.467551,0.468
10000,5000,2,2,0.581934,0.582
10000,5000,2,4,0.293254,0.293
10000,5000,2,8,0.278426,0.278
10000,5000,2,16,0.171709,0.172
10000,5000,2,32,0.130928,0.131
10000,5000,2,64,0.115071,0.115
10000,5000,2,128,0.111201,0.111
10000,5000,5,1,1.807148,1.807
10000,5000,5,2,2.564536,2.565
10000,5000,5,4,1.340637,1.341
10000,5000,5,8,0.733425,0.733
10000,5000,5,16,0.407197,0.407
10000,5000,5,32,0.303213,0.303
10000,5000,5,64,0.218264,0.218
10000,5000,5,128,0.235281,0.235
10000,5000,10,1,3.996498,3.996
10000,5000,10,2,5.66287,5.663
10000,5000,10,4,3.038805,3.039
10000,5000,10,8,1.744664,1.745
10000,5000,10,16,1.022879,1.023
10000,5000,10,32,0.669168,0.669
10000,5000,10,64,0.356831,0.357
10000,5000,10,128,0.499713,0.5
100000,1000,2,1,1.000026,1
100000,1000,2,2,2.208757,2.209
100000,1000,2,4,1.243769,1.244
100000,1000,2,8,0.695204,0.695
