n,m,k,t_,p,t
1000,1000,2,2.56,1,1.28
1000,1000,2,1.29,2,0.645
1000,1000,2,0.65,4,0.325
1000,1000,2,0.43,6,0.215
1000,1000,2,0.37,8,0.185
1000,1000,2,0.22,16,0.11
1000,1000,2,0.31,32,0.155
1000,1000,2,0.19,64,0.095
1000,1000,2,0.1,128,0.05
1000,1000,5,10.26,1,5.13
1000,1000,5,5.15,2,2.575
1000,1000,5,2.58,4,1.29
1000,1000,5,1.74,6,0.87
1000,1000,5,1.3,8,0.65
1000,1000,5,0.66,16,0.33
1000,1000,5,0.35,32,0.175
1000,1000,5,0.39,64,0.195
1000,1000,5,0.4,128,0.2
1000,1000,10,23.07,1,11.535
1000,1000,10,11.6,2,5.8
1000,1000,10,5.81,4,2.905
1000,1000,10,3.89,6,1.945
1000,1000,10,2.93,8,1.465
1000,1000,10,1.5,16,0.75
1000,1000,10,0.78,32,0.39
1000,1000,10,0.44,64,0.22
1000,1000,10,0.63,128,0.315
1000,5000,2,12.8,1,6.4
1000,5000,2,6.46,2,3.23
1000,5000,2,3.22,4,1.61
1000,5000,2,2.17,6,1.085
1000,5000,2,1.63,8,0.815
1000,5000,2,0.83,16,0.415
1000,5000,2,0.43,32,0.215
1000,5000,2,0.39,64,0.195
1000,5000,2,0.48,128,0.24
1000,5000,5,51.14,1,25.57
1000,5000,5,25.74,2,12.87
1000,5000,5,12.91,4,6.455
1000,5000,5,8.63,6,4.315
1000,5000,5,6.49,8,3.245
1000,5000,5,3.31,16,1.655
1000,5000,5,1.72,32,0.86
1000,5000,5,0.94,64,0.47
1000,5000,5,1.05,128,0.525
1000,5000,10,115.22,1,57.61
1000,5000,10,58,2,29
1000,5000,10,29.04,4,14.52
1000,5000,10,19.43,6,9.715
1000,5000,10,14.63,8,7.315
1000,5000,10,7.45,16,3.725
1000,5000,10,3.84,32,1.92
1000,5000,10,2.1,64,1.05
10000,1000,2,25.58,1,12.79
10000,1000,2,12.86,2,6.43
10000,1000,2,6.45,4,3.225
10000,1000,2,4.26,6,2.13
10000,1000,2,3.22,8,1.61
10000,1000,2,1.62,16,0.81
10000,1000,2,0.81,32,0.405
10000,1000,2,0.51,64,0.255
10000,1000,2,0.59,128,0.295
10000,1000,5,102.35,1,51.175
10000,1000,5,51.1,2,25.55
10000,1000,5,25.8,4,12.9
10000,1000,5,17.15,6,8.575
10000,1000,5,12.88,8,6.44
10000,1000,5,6.47,16,3.235
10000,1000,5,3.25,32,1.625
10000,1000,5,1.74,64,0.87
10000,1000,5,1.84,128,0.92
10000,1000,10,229.95,1,114.975
10000,1000,10,114.94,2,57.47
10000,1000,10,57.85,4,28.925
10000,1000,10,38.62,6,19.31
10000,1000,10,29.02,8,14.51
10000,1000,10,14.56,16,7.28
10000,1000,10,7.3,32,3.65
10000,1000,10,3.92,64,1.96
10000,1000,10,4.09,128,2.045
100000,1000,2,255.74,1,127.87
100000,1000,2,129.07,2,64.535
100000,1000,2,64.4,4,32.2
100000,1000,2,42.86,6,21.43
100000,1000,2,32.2,8,16.1
100000,1000,2,16.12,16,8.06
100000,1000,2,8.06,32,4.03
100000,1000,2,4.28,64,2.14
100000,1000,2,4.41,128,2.205
