n,m,k,p,t_,t
1000,1000,2,1,2.56,1.28
1000,1000,2,2,1.29,0.645
1000,1000,2,4,0.66,0.33
1000,1000,2,6,0.43,0.215
1000,1000,2,8,0.33,0.165
1000,1000,2,16,0.17,0.085
1000,1000,2,32,0.29,0.145
1000,1000,2,64,0.19,0.095
1000,1000,2,128,0.12,0.06
1000,1000,5,1,10.25,5.125
1000,1000,5,2,5.16,2.58
1000,1000,5,4,2.58,1.29
1000,1000,5,6,1.74,0.87
1000,1000,5,8,1.3,0.65
1000,1000,5,16,0.67,0.335
1000,1000,5,32,0.36,0.18
1000,1000,5,64,0.34,0.17
1000,1000,5,128,0.31,0.155
1000,1000,10,1,23.09,11.545
1000,1000,10,2,11.66,5.83
1000,1000,10,4,5.81,2.905
1000,1000,10,6,3.91,1.955
1000,1000,10,8,2.93,1.465
1000,1000,10,16,1.5,0.75
1000,1000,10,32,0.78,0.39
1000,1000,10,64,0.42,0.21
1000,1000,10,128,0.62,0.31
10000,1000,2,1,25.57,12.785
10000,1000,2,2,12.88,6.44
10000,1000,2,4,6.44,3.22
10000,1000,2,6,4.3,2.15
10000,1000,2,8,3.22,1.61
10000,1000,2,16,1.61,0.805
10000,1000,2,32,0.83,0.415
10000,1000,2,64,0.43,0.215
10000,1000,2,128,0.65,0.325
10000,1000,5,1,102.37,51.185
10000,1000,5,2,51.38,25.69
10000,1000,5,4,25.68,12.84
10000,1000,5,6,17.18,8.59
10000,1000,5,8,12.9,6.45
10000,1000,5,16,6.46,3.23
10000,1000,5,32,3.25,1.625
10000,1000,5,64,2.08,1.04
10000,1000,5,128,1.81,0.905
10000,1000,10,1,229.95,114.975
10000,1000,10,2,114.94,57.47
10000,1000,10,4,57.85,28.925
10000,1000,10,6,38.62,19.31
10000,1000,10,8,29.02,14.51
10000,1000,10,16,14.56,7.28
10000,1000,10,32,7.3,3.65
10000,1000,10,64,3.92,1.96
10000,1000,10,128,4.09,2.045
100000,1000,2,1,255.74,127.87
100000,1000,2,2,129.07,64.535
100000,1000,2,4,64.4,32.2
100000,1000,2,6,42.86,21.43
100000,1000,2,8,32.2,16.1
100000,1000,2,16,16.12,8.06
100000,1000,2,32,8.06,4.03
100000,1000,2,64,4.28,2.14
100000,1000,2,128,4.41,2.205
100000,1000,5,1,1023.75,511.875
100000,1000,5,2,514.57,257.285
100000,1000,5,4,257.12,128.56
100000,1000,5,6,171.44,85.72
100000,1000,5,8,128.74,64.37
100000,1000,5,16,64.41,32.205
100000,1000,5,32,32.27,16.135
100000,1000,5,64,18.77,9.385
100000,1000,5,128,17.56,8.78
100000,1000,10,128,39.74,19.87
100000,1000,10,1,3023.75,1511.875
