N=1000000 M=1000 K=2 Rank=2 Time=21.631339000
N=1000000 M=1000 K=2 Rank=4 Time=11.722515000
N=1000000 M=1000 K=2 Rank=8 CompTime=6.800110000 SetupTime=1.926102000
N=1000000 M=1000 K=2 Rank=16 CompTime=4.027472000 SetupTime=0.743523000
N=1000000 M=1000 K=2 Rank=32 CompTime=2.468580000 SetupTime=0.516457000
N=1000000 M=1000 K=2 Rank=64 CompTime=2.052008000 SetupTime=0.284850000
N=1000000 M=1000 K=2 Rank=128 CompTime=2.269105000 SetupTime=0.229242000
N=1000000 M=1000 K=5 Rank=2 CompTime=92.653562000 SetupTime=4.598264000
N=1000000 M=1000 K=5 Rank=4 CompTime=49.847716000 SetupTime=2.383533000
N=1000000 M=1000 K=5 Rank=8 CompTime=28.870492000 SetupTime=1.212233000
N=1000000 M=1000 K=5 Rank=16 CompTime=16.572942000 SetupTime=0.694761000
N=1000000 M=1000 K=5 Rank=32 CompTime=10.207669000 SetupTime=0.464388000
